Name,Province,Region,Start Date,End Date,Currently Active
Cariboo District,British Columbia,,1871-05-16,1872-07-07,Not Active
New Westminster District,British Columbia,,1871-05-16,1872-07-07,Not Active
Vancouver Island,British Columbia,Vancouver Region,1871-05-16,1872-07-07,Not Active
Victoria District,British Columbia,,1871-05-16,1872-07-07,Not Active
Yale District,British Columbia,,1871-05-16,1872-07-07,Not Active
Bruce South,Ontario,,1867-08-06,1882-05-16,Not Active
Cornwall,Ontario,,1867-08-06,1882-05-16,Not Active
Essex,Ontario,,1867-08-06,1882-05-16,Not Active
Huron Centre,Ontario,,1872-07-08,1882-05-16,Not Active
Huron North,Ontario,,1867-08-06,1882-05-16,Not Active
Lambton,Ontario,,1867-08-06,1882-05-16,Not Active
Lincoln,Ontario,,1867-08-06,1882-05-16,Not Active
Muskoka,Ontario,,1872-07-08,1882-05-16,Not Active
Niagara,Ontario,,1867-08-06,1882-05-16,Not Active
Stormont,Ontario,,1867-08-06,1882-05-16,Not Active
Chambly,Quebec,,1867-08-06,1893-03-31,Not Active
Brant North,Ontario,,1867-08-06,1896-04-23,Not Active
Cariboo,British Columbia,,1872-07-08,1896-04-23,Not Active
Iberville,Quebec,,1867-08-06,1896-04-23,Not Active
King's County,Prince Edward Island,,1873-06-26,1896-04-23,Not Active
Laprairie,Quebec,,1867-08-06,1896-04-23,Not Active
Montreal Centre,Quebec,,1867-08-06,1896-04-23,Not Active
Montreal East,Quebec,,1867-08-06,1896-04-23,Not Active
Montreal West,Quebec,,1867-08-06,1896-04-23,Not Active
Napierville,Quebec,,1867-08-06,1896-04-23,Not Active
Ottawa (County of),Quebec,,1867-08-06,1896-04-23,Not Active
Prince County,Prince Edward Island,,1873-06-26,1896-04-23,Not Active
Queen's,New Brunswick,,1867-08-06,1896-04-23,Not Active
Queen's County,Prince Edward Island,,1873-06-26,1896-04-23,Not Active
Queens,Nova Scotia,,1867-08-06,1896-04-23,Not Active
Saint Maurice,Quebec,,1867-08-06,1896-04-23,Not Active
Shelburne,Nova Scotia,,1867-08-06,1896-04-23,Not Active
St. John's,Quebec,,1867-08-06,1896-04-23,Not Active
Sunbury,New Brunswick,,1867-08-06,1896-04-23,Not Active
Three Rivers,Quebec,,1867-08-06,1896-04-23,Not Active
Verchères,Quebec,,1867-08-06,1896-04-23,Not Active
Wentworth North,Ontario,,1867-08-06,1896-04-23,Not Active
Yale,British Columbia,,1872-07-08,1896-04-23,Not Active
Haldimand,Ontario,,1867-08-06,1896-04-26,Not Active
Monck,Ontario,,1867-08-06,1898-04-23,Not Active
Addington,Ontario,,1867-08-06,1904-09-19,Not Active
Albert,New Brunswick,,1867-08-06,1904-09-19,Not Active
Algoma,Ontario,,1867-08-06,1904-09-19,Not Active
Bothwell,Ontario,,1867-08-06,1904-09-19,Not Active
Brant South,Ontario,,1867-08-06,1904-09-19,Not Active
Bruce East,Ontario,,1882-05-17,1904-09-19,Not Active
Bruce West,Ontario,,1882-05-17,1904-09-19,Not Active
Burrard,British Columbia,,1896-04-24,1904-09-19,Not Active
Cape Breton,Nova Scotia,,1867-08-06,1904-09-19,Not Active
Cardwell,Ontario,,1867-08-06,1904-09-19,Not Active
Cornwall and Stormont,Ontario,,1882-05-17,1904-09-19,Not Active
Durham East,Ontario,,1867-08-06,1904-09-19,Not Active
Durham West,Ontario,,1867-08-06,1904-09-19,Not Active
East Prince,Prince Edward Island,,1896-04-24,1904-09-19,Not Active
East Queen's,Prince Edward Island,,1896-04-24,1904-09-19,Not Active
Grenville South,Ontario,,1867-08-06,1904-09-19,Not Active
Haldimand and Monck,Ontario,,1896-04-24,1904-09-19,Not Active
Hamilton,Ontario,Hamilton,1867-08-06,1904-09-19,Not Active
Hastings North,Ontario,,1867-08-06,1904-09-19,Not Active
Kent,Ontario,,1867-08-06,1904-09-19,Not Active
King's,New Brunswick,,1867-08-06,1904-09-19,Not Active
Leeds North and Grenville North,Ontario,,1867-08-06,1904-09-19,Not Active
Leeds South,Ontario,,1867-08-06,1904-09-19,Not Active
Lennox,Ontario,,1867-08-06,1904-09-19,Not Active
Lincoln and Niagara,Ontario,,1882-05-17,1904-09-19,Not Active
Middlesex South,Ontario,,1882-05-17,1904-09-19,Not Active
Muskoka and Parry Sound,Ontario,,1882-05-17,1904-09-19,Not Active
Norfolk North,Ontario,,1867-08-06,1904-09-19,Not Active
Norfolk South,Ontario,,1867-08-06,1904-09-19,Not Active
Ontario West,Ontario,,1882-05-17,1904-09-19,Not Active
Prince Edward,Ontario,,1867-08-06,1904-09-19,Not Active
Toronto West,Ontario,Toronto (City),1867-08-06,1904-09-19,Not Active
Vancouver,British Columbia,Vancouver Region,1872-07-08,1904-09-19,Not Active
Victoria,Nova Scotia,,1867-08-06,1904-09-19,Not Active
Victoria,British Columbia,,1872-07-08,1904-09-19,Not Active
Victoria North,Ontario,,1867-08-06,1904-09-19,Not Active
Victoria South,Ontario,,1867-08-06,1904-09-19,Not Active
Wellington Centre,Ontario,,1867-08-06,1904-09-19,Not Active
Wentworth North and Brant,Ontario,,1896-04-24,1904-09-19,Not Active
Wentworth South,Ontario,,1867-08-06,1904-09-19,Not Active
West Prince,Prince Edward Island,,1896-04-24,1904-09-19,Not Active
West Queen's,Prince Edward Island,,1896-04-24,1904-09-19,Not Active
York East,Ontario,Toronto (City),1867-08-06,1904-09-19,Not Active
York West,Ontario,Toronto (City),1867-08-06,1904-09-19,Not Active
Strathcona,Saskatchewan,,1908-01-01,1908-01-01,Not Active
Alberta (Provisional District),Northwest Territories,,1886-06-02,1908-09-16,Not Active
Assiniboia East,Northwest Territories,,1886-06-02,1908-09-16,Not Active
Assiniboia West,Northwest Territories,,1886-06-02,1908-09-16,Not Active
Calgary,Northwest Territories,Calgary,1904-09-20,1908-09-16,Not Active
Edmonton,Northwest Territories,Edmonton,1904-09-20,1908-09-16,Not Active
Humboldt,Northwest Territories,,1904-09-20,1908-09-16,Not Active
Mackenzie,Northwest Territories,,1904-09-20,1908-09-16,Not Active
Qu'Appelle,Northwest Territories,,1904-09-20,1908-09-16,Not Active
Saskatchewan (Provisional District),Northwest Territories,,1886-06-02,1908-09-16,Not Active
Strathcona,Northwest Territories,,1904-09-20,1908-09-16,Not Active
Annapolis,Nova Scotia,,1867-08-06,1917-10-05,Not Active
Antigonish,Nova Scotia,,1867-08-06,1917-10-05,Not Active
Brockville,Ontario,,1867-08-06,1917-10-05,Not Active
Calgary,Alberta,Calgary,1908-09-17,1917-10-05,Not Active
Cape Breton South,Nova Scotia,,1904-09-20,1917-10-05,Not Active
Carleton,New Brunswick,,1867-08-06,1917-10-05,Not Active
Charlevoix,Quebec,,1867-08-06,1917-10-05,Not Active
Châteauguay,Quebec,Montreal Region,1867-08-06,1917-10-05,Not Active
Comox--Atlin,British Columbia,,1904-09-20,1917-10-05,Not Active
Digby,Nova Scotia,,1867-08-06,1917-10-05,Not Active
Edmonton,Alberta,Edmonton,1908-09-17,1917-10-05,Not Active
Glengarry,Ontario,,1867-08-06,1917-10-05,Not Active
Grey East,Ontario,,1872-07-08,1917-10-05,Not Active
Grey South,Ontario,,1867-08-06,1917-10-05,Not Active
Guysborough,Nova Scotia,,1867-08-06,1917-10-05,Not Active
Huntingdon,Quebec,,1867-08-06,1917-10-05,Not Active
Huron East,Ontario,,1882-05-17,1917-10-05,Not Active
Huron West,Ontario,,1882-05-17,1917-10-05,Not Active
Kent East,Ontario,,1904-09-20,1917-10-05,Not Active
Kent West,Ontario,,1904-09-20,1917-10-05,Not Active
King's and Albert,New Brunswick,,1904-09-20,1917-10-05,Not Active
Kootenay,British Columbia,,1904-09-20,1917-10-05,Not Active
L'Assomption,Quebec,,1867-08-06,1917-10-05,Not Active
Lanark North,Ontario,,1867-08-06,1917-10-05,Not Active
Lanark South,Ontario,,1867-08-06,1917-10-05,Not Active
