Annapolis (electoral district),None found
Antigonish (electoral district),None found
Cape Breton (electoral district),None found
Colchester (electoral district),None found
Cumberland (electoral district),None found
Digby (electoral district),None found
Guysborough (electoral district),None found
Halifax (electoral district),None found
Hants (electoral district),None found
Inverness (electoral district),None found
Kings (electoral district),None found
Lunenburg (electoral district),None found
Pictou (electoral district),None found
Queens (Nova Scotia federal electoral district),None found
Richmond (Nova Scotia federal electoral district),None found
Shelburne (federal electoral district),None found
Victoria (Nova Scotia electoral district),None found
Yarmouth (electoral district),None found
Albert (electoral district),None found
Carleton (New Brunswick electoral district),None found
Charlotte (electoral district),None found
City and County of St. John,None found
City of St. John,None found
Gloucester (electoral district),None found
Kent (New Brunswick electoral district),None found
King's (New Brunswick electoral district),None found
Northumberland (New Brunswick electoral district),None found
Queen's (New Brunswick electoral district),None found
Restigouche (electoral district),None found
Sunbury (electoral district),None found
Victoria (New Brunswick electoral district),None found
Westmorland (electoral district),None found
York (electoral district),None found
Argenteuil (electoral district),None found
Bagot (electoral district),None found
Beauce (electoral district),Dorchester (electoral district)
Beauharnois (electoral district),None found
Bellechasse (electoral district),Dorchester (electoral district),Kamouraska (electoral district),Montmagny (electoral district)
Berthier (electoral district),None found
Bonaventure (electoral district),None found
Brome (electoral district),None found
Chambly (electoral district),Verchères (electoral district)
Champlain (electoral district),None found
Charlevoix (electoral district),None found
Châteauguay (electoral district),Laprairie (electoral district)
Chicoutimi—Saguenay,None found
Compton (electoral district),Stanstead (electoral district)
Dorchester (electoral district),None found
Drummond—Arthabaska,Yamaska (electoral district)
Gaspé (electoral district),None found
Hochelaga (electoral district),None found
Huntingdon (electoral district),Châteauguay (electoral district)
Iberville (electoral district),None found
Jacques Cartier (electoral district),None found
Joliette (electoral district),None found
Kamouraska (electoral district),L'Islet (electoral district)
L'Assomption (electoral district),None found
L'Islet (electoral district),None found
Laprairie (electoral district),None found
Laval (electoral district),None found
Lévis (electoral district),Dorchester (electoral district)
Lotbinière (electoral district),Drummond—Arthabaska,Mégantic (federal electoral district),Nicolet (electoral district)
Maskinongé (electoral district),None found
Mégantic (federal electoral district),None found
Missisquoi (electoral district),St. John's (electoral district),Stanstead (electoral district)
Montcalm (electoral district),None found
Montmagny (electoral district),None found
Montmorency (electoral district),None found
Montreal Centre,None found
Montreal East (electoral district),None found
Montreal West (electoral district),None found
Napierville (electoral district),None found
Nicolet (electoral district),None found
Ottawa (County of),None found
Pontiac (electoral district),None found
Portneuf (electoral district),Quebec West
Quebec County (electoral district),Montmorency (electoral district)
Quebec East,None found
Quebec West,None found
Quebec-Centre,None found
Richelieu (electoral district),None found
Richmond—Wolfe,Drummond—Arthabaska
Rimouski (electoral district),Kamouraska (electoral district),Témiscouata (electoral district)
Rouville (electoral district),None found
Saint Maurice (electoral district),None found
Shefford (electoral district),Stanstead (electoral district)
Sherbrooke (Town of),None found
Soulanges (electoral district),None found
St. Hyacinthe (electoral district),None found
St. John's (electoral district),None found
Stanstead (electoral district),None found
Témiscouata (electoral district),None found
Terrebonne (electoral district),None found
Three Rivers (electoral district),None found
Two Mountains (electoral district),Laval (electoral district)
Vaudreuil (electoral district),None found
Verchères (electoral district),None found
Yamaska (electoral district),None found
Addington (electoral district),None found
Algoma (electoral district),None found
Bothwell (electoral district),None found
Brant North,None found
Brant South,None found
Brockville (electoral district),None found
Bruce North,None found
Bruce South,None found
Cardwell (electoral district),None found
Carleton (Ontario electoral district),None found
Cornwall (electoral district),None found
Dundas (electoral district),None found
Durham East,None found
Durham West,None found
Elgin East,None found
Elgin West,Elgin East
Essex (electoral district),None found
Frontenac (Ontario electoral district),None found
Glengarry (electoral district),None found
Grenville South,None found
Grey North,Grey East
Grey South,None found
Haldimand (electoral district),Norfolk South (Canadian electoral district)
Halton (electoral district),Wellington South
Hamilton (electoral district),None found
Hastings East,None found
Hastings North,None found
Hastings West,None found
Huron North,Huron South
Huron South,None found
Kent (Ontario electoral district),None found
Kingston (electoral district),None found
Lambton (electoral district),None found
Lanark North,None found
Lanark South,None found
Leeds North and Grenville North,None found
Leeds South,None found
Lennox (electoral district),None found
Lincoln (electoral district),Wentworth South
London (electoral district),None found
Middlesex East,None found
Middlesex North,None found
Middlesex West,None found
Monck (electoral district),None found
Niagara (electoral district),None found
Norfolk North,None found
Norfolk South (Canadian electoral district),None found
Northumberland East,None found
Northumberland West,None found
Ontario North,Muskoka (electoral district)
Ontario South,None found
Ottawa (City of),None found
Oxford North,None found
Oxford South,None found
Peel (electoral district),Cardwell (electoral district)
Perth North,None found
Perth South,None found
Peterborough East,None found
Peterborough West,Peterborough East
Prescott (electoral district),None found
Prince Edward (electoral district),None found
Renfrew North,Renfrew South
Renfrew South,None found
Russell (Ontario electoral district),None found
Simcoe North,None found
Simcoe South,Bothwell (electoral district),Cardwell (electoral district)
Stormont (electoral district),None found
Toronto East,None found
Victoria North,None found
Victoria South,None found
Waterloo North,None found
Waterloo South,None found
Welland (electoral district),None found
Wellington Centre,None found
Wellington North,Wellington Centre
Wellington South,Wellington Centre,Wellington North
Wentworth North,None found
Wentworth South,Lincoln (electoral district)
West Toronto,None found
York East,None found
York North,None found
York West,None found
Lisgar (electoral district),None found
Marquette (electoral district),None found
Provencher,None found
Selkirk (electoral district),None found
New Westminster District,None found
Victoria District,None found
Cariboo District,None found
Yale District,None found
Vancouver Island (electoral district),None found
Grey East,None found
Huron Centre,None found
Muskoka (electoral district),None found
Toronto Centre,None found
Cariboo (electoral district),Yale (electoral district)
New Westminster (electoral district),None found
Vancouver (electoral district),Vancouver Island (electoral district)
Victoria (electoral district),Victoria District
Yale (electoral district),Cariboo (electoral district)
King's County (electoral district),None found
Prince County (electoral district),None found
Queen's County (electoral district),None found
