riding,electiondate,provincecode,lastname,firstname,parliament,byelec,other,lib,ndp,green,bloc,allcons,won
Yukon,-1642291200,0,"Thompson, Alfred","NA",13,0,1,0,0,0,0,0,1
Yukon,-1642291200,0,"Congdon, Frederick Tennyson","NA",13,0,1,0,0,0,0,0,0
Yukon,-1839196800,0,"Thompson, Alfred","NA",12,0,0,0,0,0,0,1,1
Yukon,-1839196800,0,"Congdon, Frederick Tennyson","NA",12,0,0,1,0,0,0,0,0
Yukon,-1930780800,0,"Congdon, Frederick Tennyson","NA",11,0,0,1,0,0,0,0,1
Yukon,-1930780800,0,"Black, George","NA",11,0,1,0,0,0,0,0,0
Yukon,-1930780800,0,"LOWE, Robert","NA",11,0,1,0,0,0,0,0,0
Yukon,-1930780800,0,"CLARKE, Joseph Andrew","NA",11,0,0,0,0,0,0,1,0
Northwest Territories,1571616000,0,"McLeod, Michael","NA",43,0,0,1,0,0,0,0,1
Northwest Territories,1571616000,0,"D'Aigle, Yanik","NA",43,0,0,0,0,0,0,1,0
Northwest Territories,1571616000,0,"Beckett, Mary","NA",43,0,0,0,1,0,0,0,0
Northwest Territories,1571616000,0,"Falvo, Paul","NA",43,0,0,0,0,1,0,0,0
Northwest Territories,1571616000,0,"Quinlan, Luke","NA",43,0,1,0,0,0,0,0,0
Nunavut,1571616000,0,"Qaqqaq, Mumilaaq","NA",43,0,0,0,1,0,0,0,1
Nunavut,1571616000,0,"Pizzo Lyall, Megan","NA",43,0,0,1,0,0,0,0,0
Nunavut,1571616000,0,"Aglukkaq, Leona","NA",43,0,0,0,0,0,0,1,0
Nunavut,1571616000,0,"Roy, Douglas","NA",43,0,0,0,0,1,0,0,0
Yukon,1571616000,0,"Bagnell, Larry","NA",43,0,0,1,0,0,0,0,1
Yukon,1571616000,0,"Smith, Jonas Jacot","NA",43,0,0,0,0,0,0,1,0
Yukon,1571616000,0,"Lemphers, Justin","NA",43,0,0,0,1,0,0,0,0
Yukon,1571616000,0,"Morris, Lenore","NA",43,0,0,0,0,1,0,0,0
Yukon,1571616000,0,"Zelezny, Joseph","NA",43,0,1,0,0,0,0,0,0
yukon,1921-12-06,0,PITTS,GEORGE,14,0,1,0,0,0,0,0,0
yukon,1921-12-06,0,CONGDON,FREDERICKTENNYSON,14,0,0,1,0,0,0,0,0
yukon,1921-12-06,0,BLACK,GEORGE,14,0,0,0,0,0,0,1,1
yukon,1925-10-29,0,BLACK,GEORGE,15,0,0,0,0,0,0,1,1
yukon,1925-10-29,0,LOWE,ROBERT,15,0,0,1,0,0,0,0,0
yukon,1926-09-14,0,CONGDON,FREDERICKTENNYSON,16,0,0,1,0,0,0,0,0
yukon,1926-09-14,0,BLACK,GEORGE,16,0,0,0,0,0,0,1,1
yukon,1930-07-28,0,BLACK,GEORGE,17,0,0,0,0,0,0,1,1
yukon,1930-07-28,0,THOMPSON,WILLIAMEDWARD,17,0,0,1,0,0,0,0,0
yukon,1935-10-14,0,SMITH,JOHNPATRICK,18,0,0,1,0,0,0,0,0
yukon,1935-10-14,0,BLACK,MARTHALOUISE,18,0,1,0,0,0,0,0,1
yukon,1940-03-26,0,REID,CHARLES,19,0,0,1,0,0,0,0,0
yukon,1940-03-26,0,BLACK,GEORGE,19,0,1,0,0,0,0,0,1
yukon,1945-06-11,0,CUNNINGHAM,CLIVEHUNTER,20,0,1,0,1,0,0,0,0
yukon,1945-06-11,0,MCEWEN,TOM,20,0,1,0,0,0,0,0,0
yukon,1945-06-11,0,BLACK,GEORGE,20,0,0,0,0,0,0,1,1
yukon--mackenzie river,1949-06-27,0,BERRY,ARTHURMASSEY,21,0,1,0,0,0,0,0,0
yukon--mackenzie river,1949-06-27,0,SIMMONS,JAMESAUBREY,21,0,0,1,0,0,0,0,1
yukon--mackenzie river,1949-06-27,0,STEPHENS,JAMESELWYN,21,0,1,0,1,0,0,0,0
yukon--mackenzie river,1949-06-27,0,SIMMONS,JAMESAUBREY,21,0,0,1,0,0,0,0,1
yukon--mackenzie river,1949-06-27,0,BERRY,ARTHURMASSEY,21,0,1,0,0,0,0,0,0
yukon--mackenzie river,1949-06-27,0,STEPHENS,JAMESELWYN,21,0,1,0,1,0,0,0,0
mackenzie river,1953-08-10,0,HARDIE,MERVYNARTHUR,22,0,0,1,0,0,0,0,1
mackenzie river,1953-08-10,0,CONIBEAR,KENNETH,22,0,1,0,0,0,0,0,0
mackenzie river,1953-08-10,0,RIVETT,ALBERTTHOMAS,22,0,0,0,0,0,0,1,0
yukon,1953-08-10,0,LEE,RICHARDGORDON,22,0,1,0,0,0,0,0,0
yukon,1953-08-10,0,BLACK,GEORGE,22,0,0,0,0,0,0,1,0
yukon,1953-08-10,0,SIMMONS,JAMESAUBREY,22,0,0,1,0,0,0,0,1
mackenzie river,1957-06-10,0,HARDIE,MA,23,0,0,1,0,0,0,0,1
mackenzie river,1957-06-10,0,PARKES,HAROLDE,23,0,0,0,0,0,0,1,0
yukon,1957-06-10,0,NIELSEN,ERIK,23,0,0,0,0,0,0,1,0
yukon,1957-06-10,0,SIMMONS,JAMESAUBREY,23,0,0,1,0,0,0,0,1
yukon,1957-12-16,0,SIMMONS,JAMESAUBREY,23,1,0,1,0,0,0,0,0
yukon,1957-12-16,0,NIELSEN,ERIK,23,1,0,0,0,0,0,1,1
mackenzie river,1958-03-31,0,WINTER,JOHNH,24,0,0,0,0,0,0,1,0
mackenzie river,1958-03-31,0,HARDIE,MA,24,0,0,1,0,0,0,0,1
yukon,1958-03-31,0,WATT,JOHNVICTOR,24,0,1,0,0,0,0,0,0
yukon,1958-03-31,0,NIELSEN,ERIK,24,0,0,0,0,0,0,1,1
yukon,1958-03-31,0,SIMMONS,JAMESAUBREY,24,0,0,1,0,0,0,0,0
northwest territories,1962-06-18,0,RHEAUME,EUGENE,25,0,0,0,0,0,0,1,0
northwest territories,1962-06-18,0,CAREY,APAT,25,0,1,0,0,0,0,0,0
northwest territories,1962-06-18,0,HARDIE,IJTIBBIE,25,0,0,1,0,0,0,0,1
yukon,1962-06-18,0,NIELSEN,ERIK,25,0,0,0,0,0,0,1,1
yukon,1962-06-18,0,WYLIE,VICTOR,25,0,0,1,0,0,0,0,0
northwest territories,1963-04-08,0,HARDIE,IJTIBBIE,26,0,0,1,0,0,0,0,0
northwest territories,1963-04-08,0,RHEAUME,GENE,26,0,0,0,0,0,0,1,1
yukon,1963-04-08,0,WYLIE,VICTOR,26,0,0,1,0,0,0,0,0
yukon,1963-04-08,0,WILSON,RAY,26,0,1,0,0,0,0,0,0
yukon,1963-04-08,0,NIELSEN,ERIK,26,0,0,0,0,0,0,1,1
northwest territories,1965-11-08,0,ORANGE,BUD,27,0,0,1,0,0,0,0,1
northwest territories,1965-11-08,0,RHEAUME,GENE,27,0,0,0,0,0,0,1,0
northwest territories,1965-11-08,0,ERKELENS,TIELEMAN,27,0,0,0,1,0,0,0,0
yukon,1965-11-08,0,NIELSEN,ERIK,27,0,0,0,0,0,0,1,1
yukon,1965-11-08,0,MCKAMEY,RAY,27,0,0,1,0,0,0,0,0
northwest territories,1968-06-25,0,ORANGE,BUD,28,0,0,1,0,0,0,0,1
northwest territories,1968-06-25,0,VANNORMAN,R,28,0,0,0,0,0,0,1,0
northwest territories,1968-06-25,0,KENT,WILLIAMHARVEY,28,0,0,0,1,0,0,0,0
yukon,1968-06-25,0,FINDLAY,CHRIS,28,0,0,1,0,0,0,0,0
yukon,1968-06-25,0,NIELSEN,ERIK,28,0,0,0,0,0,0,1,1
yukon,1968-06-25,0,MCLAREN,ROBERTA,28,0,0,0,1,0,0,0,0
northwest territories,1972-10-30,0,FIRTH,WALLY,29,0,0,0,1,0,0,0,1
northwest territories,1972-10-30,0,WARD,BOB,29,0,0,0,0,0,0,1,0
northwest territories,1972-10-30,0,HILL,DICK,29,0,0,1,0,0,0,0,0
yukon,1972-10-30,0,NIELSEN,ERIK,29,0,0,0,0,0,0,1,1
yukon,1972-10-30,0,GIANNELIA,RAINER,29,0,1,0,0,0,0,0,0
yukon,1972-10-30,0,BRANIGAN,DONALDWILLIAM,29,0,0,1,0,0,0,0,0
yukon,1972-10-30,0,KENT,WMHARVEY,29,0,0,0,1,0,0,0,0
northwest territories,1974-07-08,0,WARD,BOB,30,0,0,0,0,0,0,1,0
northwest territories,1974-07-08,0,WHITFORD,RICHARD,30,0,0,1,0,0,0,0,0
northwest territories,1974-07-08,0,FIRTH,WALLY,30,0,0,0,1,0,0,0,1
yukon,1974-07-08,0,WHITE,PAULS,30,0,0,1,0,0,0,0,0
yukon,1974-07-08,0,PENIKETT,TONY,30,0,0,0,1,0,0,0,0
yukon,1974-07-08,0,NIELSEN,ERIK,30,0,0,0,0,0,0,1,1
nunatsiaq,1979-05-22,0,ITTINUAR,PETER,31,0,0,0,1,0,0,0,1
nunatsiaq,1979-05-22,0,OKPIK,ABE,31,0,0,0,0,0,0,1,0
nunatsiaq,1979-05-22,0,CURLEY,TAGAK,31,0,0,1,0,0,0,0,0
western arctic,1979-05-22,0,SEARLE,DAVID,31,0,0,1,0,0,0,0,0
western arctic,1979-05-22,0,NICKERSON,DAVE,31,0,0,0,0,0,0,1,1
western arctic,1979-05-22,0,ERASMUS,GEORGES,31,0,0,0,1,0,0,0,0
western arctic,1979-05-22,0,MCRAE,EDWARD,31,0,1,0,0,0,0,0,0
yukon,1979-05-22,0,JACK,JOE,31,0,0,0,1,0,0,0,0
yukon,1979-05-22,0,NIELSEN,ERIK,31,0,0,0,0,0,0,1,1
yukon,1979-05-22,0,LUECK,ALLENR,31,0,0,1,0,0,0,0,0
nunatsiaq,1980-02-18,0,ELLSWORTH,LLOYD,32,0,1,0,0,0,0,0,0
nunatsiaq,1980-02-18,0,ITTINUAR,PETER,32,0,0,0,1,0,0,0,1
nunatsiaq,1980-02-18,0,STEVENSON,LYLE,32,0,0,0,0,0,0,1,0
nunatsiaq,1980-02-18,0,ARVALUK,JAMES,32,0,0,1,0,0,0,0,0
western arctic,1980-02-18,0,BOYD,GARYJ,32,0,0,1,0,0,0,0,0
western arctic,1980-02-18,0,NICKERSON,DAVE,32,0,0,0,0,0,0,1,1
western arctic,1980-02-18,0,FIRTH,WALLY,32,0,0,0,1,0,0,0,0
yukon,1980-02-18,0,NIELSEN,ERIK,32,0,0,0,0,0,0,1,1
yukon,1980-02-18,0,CHRISTENSEN,IONEJ,32,0,0,1,0,0,0,0,0
yukon,1980-02-18,0,MCCULLOUGH,JIM,32,0,0,0,1,0,0,0,0
nunatsiaq,1984-09-04,0,KUPTANA,ROBERT,33,0,0,1,0,0,0,0,0
nunatsiaq,1984-09-04,0,INNUKSUK,RHODA,33,0,0,0,1,0,0,0,0
nunatsiaq,1984-09-04,0,SULUK,THOMAS,33,0,0,0,0,0,0,1,1
nunatsiaq,1984-09-04,0,ITTINUAR,PETERFK,33,0,1,0,0,0,0,0,0
western arctic,1984-09-04,0,ALLEN,BERTHA,33,0,0,0,1,0,0,0,0
western arctic,1984-09-04,0,NICKERSON,DAVE,33,0,0,0,0,0,0,1,1
western arctic,1984-09-04,0,SORENSON,LYNDA,33,0,0,1,0,0,0,0,0
yukon,1984-09-04,0,DYE,KEITH,33,0,1,0,0,0,0,0,0
yukon,1984-09-04,0,GIBB,DOUGLASR,33,0,1,0,0,0,0,0,0
yukon,1984-09-04,0,NIELSEN,ERIK,33,0,0,0,0,0,0,1,1
yukon,1984-09-04,0,FREI,SIBYLA,33,0,0,0,1,0,0,0,0
yukon,1984-09-04,0,VEALE,RON,33,0,0,1,0,0,0,0,0
yukon,1987-07-20,0,MARSHALL,FRED,33,1,1,0,0,0,0,0,0
yukon,1987-07-20,0,BRANIGAN,DON,33,1,0,1,0,0,0,0,0
yukon,1987-07-20,0,MCLAUGHLIN,AUDREY,33,1,0,0,1,0,0,0,1
yukon,1987-07-20,0,LEGREENON,DAVID,33,1,0,0,0,0,0,1,0
nunatsiaq,1988-11-21,0,LEE,RICHARDINUKPAK,34,0,1,0,0,0,0,0,0
nunatsiaq,1988-11-21,0,ANAWAK,JACK,34,0,0,1,0,0,0,0,1
nunatsiaq,1988-11-21,0,PEARSON,SEDLUKBRYAN,34,0,0,0,0,0,0,1,0
nunatsiaq,1988-11-21,0,KUSUGAK,PETER,34,0,0,0,1,0,0,0,0
western arctic,1988-11-21,0,LENNIE,ERNIE,34,0,1,0,0,0,0,0,0
western arctic,1988-11-21,0,BLONDIN,ETHEL,34,0,0,1,0,0,0,0,1
western arctic,1988-11-21,0,MCCAULEY,CECE,34,0,1,0,0,0,0,0,0
western arctic,1988-11-21,0,NICKERSON,DAVE,34,0,0,0,0,0,0,1,0
western arctic,1988-11-21,0,CAHILL,WAYNE,34,0,0,0,1,0,0,0,0
yukon,1988-11-21,0,MCLAUGHLIN,AUDREY,34,0,0,0,1,0,0,0,1
yukon,1988-11-21,0,JACK,JOE,34,0,0,1,0,0,0,0,0
yukon,1988-11-21,0,FRIDAY,CHARLIE,34,0,0,0,0,0,0,1,0
yukon,1988-11-21,0,DERAADT,JACOB,34,0,1,0,0,0,0,0,0
nunatsiaq,1993-10-25,0,ILLNIK,MIKE,35,0,0,0,1,0,0,0,0
nunatsiaq,1993-10-25,0,ANAWAK,JACKIYERAK,35,0,0,1,0,0,0,0,1
nunatsiaq,1993-10-25,0,EVIC-TWERDIN,LEENA,35,0,0,0,0,0,0,1,0
western arctic,1993-10-25,0,BLONDIN-ANDREW,ETHEL,35,0,0,1,0,0,0,0,1
