,riding,electiondate,provincecode,lastname,firstname,parliament,byelec,other,lib,ndp,green,bloc,allcons,won,score
0,Yukon,-1642291200,0,"Thompson, Alfred",,13,0,1,0,0,0,0,0,1,0.0
1,Yukon,-1642291200,0,"Congdon, Frederick Tennyson",,13,0,1,0,0,0,0,0,0,0.0
2,Yukon,-1839196800,0,"Thompson, Alfred",,12,0,0,0,0,0,0,1,1,0.0
3,Yukon,-1839196800,0,"Congdon, Frederick Tennyson",,12,0,0,1,0,0,0,0,0,0.0
4,Yukon,-1930780800,0,"Congdon, Frederick Tennyson",,11,0,0,1,0,0,0,0,1,0.0
5,Yukon,-1930780800,0,"Black, George",,11,0,1,0,0,0,0,0,0,0.0
6,Yukon,-1930780800,0,"LOWE, Robert",,11,0,1,0,0,0,0,0,0,0.0
7,Yukon,-1930780800,0,"CLARKE, Joseph Andrew",,11,0,0,0,0,0,0,1,0,0.0
8,Northwest Territories,1571616000,0,"McLeod, Michael",,43,0,0,1,0,0,0,0,1,0.0
9,Northwest Territories,1571616000,0,"D'Aigle, Yanik",,43,0,0,0,0,0,0,1,0,0.0
10,Northwest Territories,1571616000,0,"Beckett, Mary",,43,0,0,0,1,0,0,0,0,0.0
11,Northwest Territories,1571616000,0,"Falvo, Paul",,43,0,0,0,0,1,0,0,0,0.0
12,Northwest Territories,1571616000,0,"Quinlan, Luke",,43,0,1,0,0,0,0,0,0,0.0
13,Nunavut,1571616000,0,"Qaqqaq, Mumilaaq",,43,0,0,0,1,0,0,0,1,0.0
14,Nunavut,1571616000,0,"Pizzo Lyall, Megan",,43,0,0,1,0,0,0,0,0,0.0
15,Nunavut,1571616000,0,"Aglukkaq, Leona",,43,0,0,0,0,0,0,1,0,0.0
16,Nunavut,1571616000,0,"Roy, Douglas",,43,0,0,0,0,1,0,0,0,0.0
17,Yukon,1571616000,0,"Bagnell, Larry",,43,0,0,1,0,0,0,0,1,0.0
18,Yukon,1571616000,0,"Smith, Jonas Jacot",,43,0,0,0,0,0,0,1,0,0.0
19,Yukon,1571616000,0,"Lemphers, Justin",,43,0,0,0,1,0,0,0,0,0.0
20,Yukon,1571616000,0,"Morris, Lenore",,43,0,0,0,0,1,0,0,0,0.0
21,Yukon,1571616000,0,"Zelezny, Joseph",,43,0,1,0,0,0,0,0,0,0.0
22,yukon,1921-12-06,0,PITTS,GEORGE,14,0,1,0,0,0,0,0,0,0.0
23,yukon,1921-12-06,0,CONGDON,FREDERICKTENNYSON,14,0,0,1,0,0,0,0,0,0.0
24,yukon,1921-12-06,0,BLACK,GEORGE,14,0,0,0,0,0,0,1,1,0.0
25,yukon,1925-10-29,0,BLACK,GEORGE,15,0,0,0,0,0,0,1,1,0.0
26,yukon,1925-10-29,0,LOWE,ROBERT,15,0,0,1,0,0,0,0,0,0.0
27,yukon,1926-09-14,0,CONGDON,FREDERICKTENNYSON,16,0,0,1,0,0,0,0,0,0.0
28,yukon,1926-09-14,0,BLACK,GEORGE,16,0,0,0,0,0,0,1,1,3.0
29,yukon,1930-07-28,0,BLACK,GEORGE,17,0,0,0,0,0,0,1,1,2.0
30,yukon,1930-07-28,0,THOMPSON,WILLIAMEDWARD,17,0,0,1,0,0,0,0,0,3.0
31,yukon,1935-10-14,0,SMITH,JOHNPATRICK,18,0,0,1,0,0,0,0,0,2.0
32,yukon,1935-10-14,0,BLACK,MARTHALOUISE,18,0,1,0,0,0,0,0,1,0.0
33,yukon,1940-03-26,0,REID,CHARLES,19,0,0,1,0,0,0,0,0,4.0
34,yukon,1940-03-26,0,BLACK,GEORGE,19,0,1,0,0,0,0,0,1,0.0
35,yukon,1945-06-11,0,CUNNINGHAM,CLIVEHUNTER,20,0,1,0,1,0,0,0,0,0.0
36,yukon,1945-06-11,0,MCEWEN,TOM,20,0,1,0,0,0,0,0,0,0.0
37,yukon,1945-06-11,0,BLACK,GEORGE,20,0,0,0,0,0,0,1,1,1.0
38,yukon--mackenzie river,1949-06-27,0,BERRY,ARTHURMASSEY,21,0,1,0,0,0,0,0,0,0.0
39,yukon--mackenzie river,1949-06-27,0,SIMMONS,JAMESAUBREY,21,0,0,1,0,0,0,0,1,0.0
40,yukon--mackenzie river,1949-06-27,0,STEPHENS,JAMESELWYN,21,0,1,0,1,0,0,0,0,0.0
41,yukon--mackenzie river,1949-06-27,0,SIMMONS,JAMESAUBREY,21,0,0,1,0,0,0,0,1,0.0
42,yukon--mackenzie river,1949-06-27,0,BERRY,ARTHURMASSEY,21,0,1,0,0,0,0,0,0,0.0
43,yukon--mackenzie river,1949-06-27,0,STEPHENS,JAMESELWYN,21,0,1,0,1,0,0,0,0,0.0
44,mackenzie river,1953-08-10,0,HARDIE,MERVYNARTHUR,22,0,0,1,0,0,0,0,1,0.0
45,mackenzie river,1953-08-10,0,CONIBEAR,KENNETH,22,0,1,0,0,0,0,0,0,0.0
46,mackenzie river,1953-08-10,0,RIVETT,ALBERTTHOMAS,22,0,0,0,0,0,0,1,0,0.0
47,yukon,1953-08-10,0,LEE,RICHARDGORDON,22,0,1,0,0,0,0,0,0,3.0
48,yukon,1953-08-10,0,BLACK,GEORGE,22,0,0,0,0,0,0,1,0,0.0
49,yukon,1953-08-10,0,SIMMONS,JAMESAUBREY,22,0,0,1,0,0,0,0,1,3.0
50,mackenzie river,1957-06-10,0,HARDIE,MA,23,0,0,1,0,0,0,0,1,3.0
51,mackenzie river,1957-06-10,0,PARKES,HAROLDE,23,0,0,0,0,0,0,1,0,0.0
